Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Transcriptional Regulation by MECP2,1/63,0.0310639188209322,0.0397329194221226,0,0,35.71326164874552,123.9860268803296,HDAC1
Post-translational Protein Modification,3/1457,0.0314198847128351,0.0399826127047392,0,0,5.463548830811554,18.905596232089867,HDAC1;MDM2;PML
Semaphorin Interactions,1/64,0.0315499162070124,0.0399826127047392,0,0,35.14462081128748,121.46628828977606,ERBB2
Signaling by BRAF and RAF1 Fusions,1/65,0.0320356942028436,0.0402274698894154,0,0,34.59375,119.03379191454992,JAK2
RUNX1 Regulates Genes Involved in Megakaryocyte Differentiation and Platelet Function,1/65,0.0320356942028436,0.0402274698894154,0,0,34.59375,119.03379191454992,HDAC1
Regulation of Endogenous Retroelements by Piwi-interacting RNAs (piRNAs),1/66,0.0325212529076381,0.0406515661345476,0,0,34.05982905982906,116.68425597420442,HDAC1
FOXO-mediated Transcription,1/67,0.0330065923938031,0.0410715516212482,0,0,33.54208754208754,114.4136695514984,HDAC1
Degradation of Beta-Catenin by the Destruction Complex,1/72,0.0354300047601861,0.0438885194101405,0,0,31.172143974960875,104.12107765370268,HDAC1
Signaling by NOTCH1,1/74,0.0363978383040335,0.0448852266081131,0,0,30.315068493150687,100.4412761916998,HDAC1
Extra-nuclear Estrogen Signaling,1/75,0.0368814272661001,0.0450671903345099,0,0,29.903903903903903,98.68429377205668,IGF1R
Positive Epigenetic Regulation of rRNA Expression,1/75,0.0368814272661001,0.0450671903345099,0,0,29.903903903903903,98.68429377205668,HDAC1
NoRC Negatively Regulates rRNA Expression,1/76,0.0373647978046119,0.0450671903345099,0,0,29.503703703703703,96.97944863399395,HDAC1
ISG15 Antiviral Mechanism,1/76,0.0373647978046119,0.0450671903345099,0,0,29.503703703703703,96.97944863399395,JAK1
Regulation of Endogenous Retroelements by KRAB-ZFP Proteins,1/76,0.0373647978046119,0.0450671903345099,0,0,29.503703703703703,96.97944863399395,HDAC1
SUMOylation of DNA Damage Response and Repair Proteins,1/77,0.0378479500125182,0.0454505949931987,0,0,29.114035087719294,95.32454660857232,PML
RNA Polymerase I Promoter Clearance,1/79,0.0388135997677023,0.0464075649396441,0,0,28.36467236467237,92.15638325126108,HDAC1
PKR-mediated Signaling,1/80,0.03929609749471,0.0467810684460833,0,0,28.0042194092827,90.63929849888726,STAT3
Senescence-Associated Secretory Phenotype (SASP),1/81,0.039778377237952,0.0469487284997287,0,0,27.65277777777778,89.16449601956255,STAT3
RNA Polymerase I Transcription,1/81,0.039778377237952,0.0469487284997287,0,0,27.65277777777778,89.16449601956255,HDAC1
Negative Epigenetic Regulation of rRNA Expression,1/82,0.0402604390785998,0.0471132797728296,0,0,27.310013717421125,87.73030443537515,HDAC1
Oncogenic MAPK Signaling,1/82,0.0402604390785998,0.0471132797728296,0,0,27.310013717421125,87.73030443537515,JAK2
Transcriptional Regulation by RUNX3,1/86,0.0421865092184754,0.0491580086232234,0,0,26.01960784313725,82.36909635390154,MDM2
Chaperonin-mediated Protein Folding,1/91,0.0445892046624482,0.0517385286167647,0,0,24.567901234567906,76.41264641223972,STAT3
Regulation of TP53 Activity Through Phosphorylation,1/92,0.0450690923255239,0.0520756318887356,0,0,24.296703296703296,75.30905521028181,MDM2
Oxidative Stress Induced Senescence,1/94,0.0460282169261211,0.0525218242932917,0,0,23.77180406212664,73.18151447362185,MDM2
Signaling by TGF-beta Receptor Complex,1/94,0.0460282169261211,0.0525218242932917,0,0,23.77180406212664,73.18151447362185,HDAC1
MITF-M-dependent Gene Expression,1/94,0.0460282169261211,0.0525218242932917,0,0,23.77180406212664,73.18151447362185,HDAC1
Protein Folding,1/97,0.0474652783026245,0.0539378162529824,0,0,23.02546296296296,70.17601174086535,STAT3
P75 NTR Receptor-Mediated Signalling,1/98,0.047943865635835,0.0542574611105129,0,0,22.78694158075601,69.220448859451,HDAC1
Adipogenesis,1/110,0.0536700579531296,0.0604887948242239,0,0,20.26605504587156,59.276184666906936,HDAC1
Regulation of Endogenous Retroelements,1/111,0.0541458386425502,0.0607759413334747,0,0,20.08080808080808,58.55712550002727,HDAC1
Signaling by NTRK1 (TRKA),1/115,0.0560468093341457,0.0626539535239434,0,0,19.37231968810916,55.822657592283626,STAT3
Cellular Responses to Stress,2/787,0.0564331029742461,0.0628303778053347,0,0,6.11624203821656,17.582357075850695,STAT3;MDM2
Estrogen-dependent Gene Expression,1/121,0.0588918187809666,0.0650411653203447,0,0,18.39814814814815,52.104532462734575,HDAC1
G1 S Transition,1/121,0.0588918187809666,0.0650411653203447,0,0,18.39814814814815,52.104532462734575,HDAC1
Platelet Degranulation,1/128,0.0622012413800101,0.0684213655180112,0,0,17.37795275590551,48.26518401321974,HGF
Response to Elevated Platelet Cytosolic Ca2+,1/133,0.0645586982519235,0.0707316415110715,0,0,16.715488215488215,45.80345349555044,HGF
Signaling by NTRKs,1/134,0.0650295490975947,0.0709647857215815,0,0,16.588972431077693,45.33622688859099,STAT3
MITF-M-regulated Melanocyte Development,1/136,0.0659706109648584,0.0717071858313679,0,0,16.34156378600823,44.42529163101855,HDAC1
Interleukin-1 Family Signaling,1/140,0.0678501777388971,0.0734598381031367,0,0,15.86810551558753,42.69239642260823,STAT3
Cellular Responses to Stimuli,2/887,0.0698056558147541,0.0752806092119897,0,0,5.396892655367232,14.366745439148447,STAT3;MDM2
Death Receptor Signaling,1/157,0.0758004191937405,0.0814262315557759,0,0,14.126780626780628,36.44217021371992,HDAC1
Signaling by TGFB Family Members,1/161,0.0776621724057824,0.0831015463485999,0,0,13.770833333333334,35.189808228245795,HDAC1
Apoptosis,1/168,0.0809121203148388,0.0862435390952739,0,0,13.188955422488355,33.16219935568782,STAT3
TCF Dependent Signaling in Response to WNT,1/189,0.0906002210285699,0.0961971458797557,0,0,11.703309692671397,28.103141488494085,HDAC1
Ub-specific Processing Proteases,1/190,0.091059258031028,0.0963126767635873,0,0,11.64079952968842,27.89420530874704,MDM2
Cellular Response to Chemical Stress,1/202,0.0965514597102952,0.1013421809936304,0,0,10.939192924267552,25.572323233557647,STAT3
