Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Polycystic Kidney Disease Pathway WP2571,2/84,0.0007673975284231675,0.0017053278409403,0,0,60.69512195121951,435.3361021407185,ERBB2;IGF1R
Acute Viral Myocarditis WP4298,2/85,0.0007856794992100311,0.001724662315339,0,0,59.96084337349398,428.6577674110207,STAT3;JAK1
Retinoblastoma Gene In Cancer WP2446,2/87,0.0008228739092398206,0.001784545827267,0,0,58.544117647058826,415.82174804298586,HDAC1;MDM2
ErbB Signaling WP673,2/90,0.0008802391137269697,0.001886226672272,0,0,56.53977272727273,397.7752223930347,ERBB2;MDM2
VEGFA VEGFR2 Signaling WP3888,3/430,0.0010582577311729,0.0022410163718957,0,0,19.6349949815992,134.52193012653004,HDAC1;STAT3;MDM2
DNA Damage Response Only ATM Dependent WP710,2/109,0.0012871159553875,0.0026939636275552,0,0,46.45560747663552,309.1783856143476,ERBB2;MDM2
Gastrin Signaling WP4659,2/115,0.0014311167497953,0.0029609312064731,0,0,43.97566371681416,288.0098229810942,STAT3;JAK2
Cell Cycle WP179,2/120,0.0015567588670392,0.003184279500762,0,0,42.10169491525424,272.19374207815827,HDAC1;MDM2
Adipogenesis WP236,2/131,0.0018511149998335,0.003743828089551,0,0,38.49031007751938,242.1797654013784,STAT2;STAT3
TGF Beta Signaling Pathway WP366,2/132,0.0018790923323901,0.0037581846647803,0,0,38.19230769230769,239.73183291162476,HDAC1;PML
Brain Derived Neurotrophic Factor BDNF Signaling WP2380,2/137,0.0020220089092734,0.0039995780622991,0,0,36.76851851851852,228.09952555633555,STAT3;JAK2
Neuroinflammation And Glutamatergic Signaling WP5083,2/140,0.0021101767489403,0.0041286066827093,0,0,35.96376811594203,221.5721843960484,STAT3;JAK1
Breast Cancer Pathway WP4262,2/154,0.0025454581928163,0.0049266932764186,0,0,32.62828947368421,194.90327984814536,ERBB2;IGF1R
Somatroph Axis GH Relationship To Dietary Restriction And Aging WP4186,1/6,0.0029965781728721,0.0057381284161381,0,0,444.1111111111111,2580.4117942926405,IGF1R
Cell Differentiation Index WP2029,1/8,0.0039936462613403,0.0074880867400131,0,0,317.1904761904762,1751.8590547314027,STAT3
Transcription Factors Regulate miRNAs Cardiac Hypertrophy WP1559,1/8,0.0039936462613403,0.0074880867400131,0,0,317.1904761904762,1751.8590547314027,STAT3
Circadian Rhythm Genes WP3594,2/201,0.0042887731676215,0.0079585481461018,0,0,24.86306532663317,135.54732981615194,HDAC1;PML
Mammary Gland Development Pathway Involution Stage 4 Of 4 WP2815,1/10,0.0049898178893478,0.009164971633496,0,0,246.679012345679,1307.4865498601448,STAT3
Valproic Acid Pathway WP3871,1/12,0.0059850935124877,0.0108819882045232,0,0,201.8080808080808,1032.9512945731403,HDAC1
Development Of Pulmonary Dendritic Cells And Macrophage Subsets WP3892,1/13,0.006482395492037,0.011439521456536,0,0,184.9814814814815,932.059746399125,STAT3
Estrogen Receptor Pathway WP2881,1/13,0.006482395492037,0.011439521456536,0,0,184.9814814814815,932.059746399125,STAT3
Mammary Gland Development Pathway Puberty Stage 2 Of 4 WP2814,1/13,0.006482395492037,0.011439521456536,0,0,184.9814814814815,932.059746399125,ERBB2
Network Map Of SARS CoV 2 Signaling WP5115,2/254,0.0067595496096869,0.0118128051431421,0,0,19.58134920634921,97.844066464504,JAK2;JAK1
Mod Of PI3K Akt mTOR Signaling By Bioactive Sphingolipids WP5192,1/14,0.0069794736802133,0.0120798582926769,0,0,170.74358974358975,847.7046615380154,IGF1R
PGK1 PKM2 KHKC KHKA Acting As Protein Kinases WP5433,1/15,0.0074763281564485,0.0126956515864221,0,0,158.53968253968253,776.212425317664,STAT3
FOXP3 In COVID 19 WP5063,1/15,0.0074763281564485,0.0126956515864221,0,0,158.53968253968253,776.212425317664,STAT3
