Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Senescence and autophagy,2/99,0.0010636212860347,0.0028524389034567,0,0,51.27061855670103,351.0025453408367,MDM2;IGF1R
Signal transduction,4/1020,0.0011025838957749,0.0029237056112684,0,0,12.4501312335958,84.78662449084848,HDAC1;ERBB2;MDM2;JAK2
Signaling by ERBB2,2/102,0.0011284954391627,0.002959165818249,0,0,49.725,337.4771109100563,ERBB2;MDM2
Hemostasis pathway,3/468,0.0013514346683036,0.0035048195793368,0,0,17.995391705069125,118.88814849552418,HDAC1;HGF;JAK2
Signaling by PDGF,2/122,0.0016084465825751,0.0041260151466059,0,0,41.395833333333336,266.2781358151417,STAT3;MDM2
Factors involved in megakaryocyte development and platelet production,2/125,0.0016875070037332,0.0042822758374305,0,0,40.38008130081301,257.80674959416353,HDAC1;JAK2
Signaling by FGFR in disease,2/128,0.0017683979926759,0.0044398077262928,0,0,39.41269841269841,249.7851189979635,STAT3;MDM2
PDGFB signaling pathway,2/129,0.0017957676618057,0.0044610649282754,0,0,39.1003937007874,247.20530595871244,STAT3;JAK2
Adipogenesis,2/133,0.0019072718827723,0.0046887100451487,0,0,37.89885496183206,237.32571441911304,STAT2;STAT3
NGF signaling via TRKA from the plasma membrane,2/136,0.0019930221646429,0.004799522763834,0,0,37.04477611940298,230.34823784060453,STAT3;MDM2
Ubiquitin-mediated proteolysis,2/136,0.0019930221646429,0.004799522763834,0,0,37.04477611940298,230.34823784060453,MDM2;PML
GRB7 events in ERBB2 signaling,1/5,0.0024977078641967,0.0059541318782871,0,0,555.1666666666666,3326.7706415121643,ERBB2
Cell cycle negative regulation by p75 neurotrophin receptor,1/6,0.0029965781728721,0.0070719244879782,0,0,444.1111111111111,2580.4117942926405,HDAC1
Transcription factor regulation of microRNAs related to cardiac hypertrophy,1/8,0.0039936462613403,0.009331688293825,0,0,317.1904761904762,1751.8590547314027,STAT3
Telomerase protein component gene hTERT transcriptional regulation,1/11,0.0054875676690229,0.0125734560183438,0,0,222.0,1155.5699775561973,HDAC1
Erythropoietin-mediated neuroprotection through NF-kB,1/11,0.0054875676690229,0.0125734560183438,0,0,222.0,1155.5699775561973,JAK2
Apoptosis,2/242,0.0061544184992499,0.0139657958252211,0,0,20.572916666666668,104.72818098889356,MDM2;IGF1R
Downregulation of ERBB2-ERBB3 signaling,1/13,0.006482395492037,0.0145699555821023,0,0,184.9814814814815,932.059746399125,ERBB2
AKT phosphorylation of cytosolic targets,1/14,0.0069794736802133,0.015539205552173,0,0,170.74358974358975,847.7046615380154,MDM2
Interleukin-2 signaling pathway,3/847,0.0072630412397982,0.0160194180616109,0,0,9.722071767095464,47.88078184857103,STAT3;JAK2;JAK1
Prolactin receptor signaling pathway,1/15,0.0074763281564485,0.0160401222265624,0,0,158.53968253968253,776.212425317664,JAK2
Mechanisms of transcriptional repression by DNA methylation,1/15,0.0074763281564485,0.0160401222265624,0,0,158.53968253968253,776.212425317664,HDAC1
