Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
clindamycin HL60 DOWN,2/1626,0.1926724023333616,0.2019177191439835,0,0,2.8272783251231526,4.655859964539655,HGF;JAK1
lanatoside C HL60 UP,1/432,0.1962091000628252,0.2054269772469848,0,0,5.042278937870585,8.211726150632023,PML
deptropine HL60 DOWN,1/435,0.1974408357931117,0.2065185753698065,0,0,5.006656426011265,8.12238035407291,HGF
digoxin MCF7 DOWN,1/449,0.2031665045471554,0.2123041368090849,0,0,4.846726190476191,7.724370104415295,MDM2
COPPER CTD 00005706,2/1688,0.2042463789016859,0.2132285332319703,0,0,2.7141162514828,4.311178993198038,STAT3;IGF1R
Cylindrospermopsin CTD 00003136,1/483,0.2169189508828487,0.2262421149609081,0,0,4.497003227293684,6.872461958075074,MDM2
ouabain MCF7 DOWN,1/486,0.2181220849534986,0.2272798824133783,0,0,4.468499427262314,6.804185642871558,JAK2
vorinostat MCF7 DOWN,1/492,0.2205233633620704,0.2295629292577511,0,0,4.412536773025572,6.670659674136806,IGF1R
ajmaline HL60 DOWN,1/496,0.2221205261431451,0.2310053471888709,0,0,4.375982042648709,6.583818728383173,JAK1
alprostadil HL60 DOWN,1/500,0.2237147429615647,0.2324419593853746,0,0,4.34001336005344,6.498664428104614,HGF
Dasatinib CTD 00004330,1/502,0.2245107481275569,0.2330472784746124,0,0,4.322244400088711,6.456705687462296,STAT3
COUMESTROL CTD 00005717,2/1812,0.22771586959604,0.2361497906921896,0,0,2.5110497237569063,3.7154913296939167,ERBB2;STAT3
GDC-0941 CTD 00004868,1/533,0.2367552531313944,0.2452910212708565,0,0,4.06390977443609,5.854990059005221,ERBB2
chlorhexidine PC3 DOWN,1/534,0.2371473236853605,0.2454643388288281,0,0,4.0560767146133,5.836993374043728,JAK1
trichostatin A HL60 DOWN,1/543,0.2406678101960096,0.2488723946345099,0,0,3.986879868798688,5.678663211846328,HGF
piroxicam CTD 00006571,1/549,0.2430066707678363,0.2510532492700826,0,0,3.9420113544201136,5.576630949622668,STAT3
helveticoside MCF7 DOWN,1/555,0.2453390456993759,0.2532232872435903,0,0,3.8981147212194154,5.477296211937975,JAK2
Tamibarotene CTD 00002527,1/559,0.2468903671106831,0.2545838346410444,0,0,3.869374751095181,5.41252357314015,JAK1
Irinotecan hydrochloride CTD 00002224,1/565,0.2492119681124256,0.2567353482818573,0,0,3.827029156816391,5.317471276529871,MDM2
vorinostat HL60 DOWN,1/569,0.2507561216660615,0.2580826435997542,0,0,3.799295774647888,5.255468731324775,HGF
calcitriol CTD 00005558,2/1958,0.2557632830444695,0.2629882345429009,0,0,2.304959100204499,3.142818504836662,JAK2;IGF1R
sulfaguanidine PC3 DOWN,1/583,0.2561381762833902,0.2631259534350538,0,0,3.705231004200076,5.046666275029229,IGF1R
vorinostat MCF7 UP,1/613,0.2675541566409035,0.2745950554998747,0,0,3.518155410312273,4.638453171556017,STAT3
benzene CTD 00005481,1/615,0.2683095853649229,0.2751118002051604,0,0,3.5063336952587765,4.612980982489813,MDM2
lanatoside C MCF7 DOWN,1/653,0.2825301427922399,0.2894211218847335,0,0,3.2955010224948875,4.165414539246156,JAK2
digoxigenin HL60 DOWN,1/662,0.2858615198780611,0.29255930619198,0,0,3.249117498739284,4.068700180128448,JAK2
irinotecan MCF7 UP,1/671,0.2891789690030815,0.2956773728009036,0,0,3.203980099502488,3.975208587734216,MDM2
azacyclonol HL60 DOWN,1/703,0.3008623190392109,0.3073355027042267,0,0,3.0528648306426085,3.666803673993762,HGF
anisomycin MCF7 UP,1/718,0.306279156976433,0.3125764854376306,0,0,2.9866728653339534,3.5340055026927564,STAT3
metronidazole PC3 DOWN,1/745,0.3159343632487035,0.3221291546849525,0,0,2.8742532855436083,3.311774414922379,JAK1
cephaeline HL60 UP,1/767,0.3237119599958805,0.3297513622346096,0,0,2.7885117493472587,3.1451656673079063,JAK2
parathion CTD 00006472,1/776,0.3268706980752639,0.3326587160281343,0,0,2.7548387096774194,3.080434763488981,MDM2
LEAD CTD 00006203,1/791,0.3321057653376382,0.3376717837511181,0,0,2.70042194092827,2.9766799406023265,ERBB2
emetine PC3 UP,1/801,0.3355754230170842,0.3408821971485172,0,0,2.665277777777778,2.9102395671219647,IGF1R
Caspan CTD 00000180,1/808,0.3379945221938443,0.3430204630443104,0,0,2.641195098444169,2.864971911881036,IGF1R
captopril PC3 DOWN,1/856,0.3543702231096391,0.3593057415373499,0,0,2.4866796621182585,2.579714018073822,IGF1R
trichostatin A MCF7 UP,1/874,0.3604164932947974,0.3650972269739506,0,0,2.433116965763014,2.4829836747061167,STAT3
anisomycin PC3 UP,1/899,0.3687295528268661,0.3731720775597199,0,0,2.362286562731997,2.356833986810761,IGF1R
cimetidine PC3 DOWN,1/953,0.3863547898280168,0.3906476208261059,0,0,2.2219887955182074,2.113109538149592,JAK1
doxorubicin MCF7 DOWN,1/1006,0.4032216991294736,0.407324787649755,0,0,2.098949695964621,1.906410409084579,IGF1R
phenobarbital CTD 00006510,1/1129,0.4407690818618343,0.4448427332653633,0,0,1.85795902285264,1.522103507892395,MDM2
trichostatin A PC3 DOWN,1/1133,0.441953608257134,0.4456263529240907,0,0,1.8510011778563016,1.5114356801885176,JAK2
menadione CTD 00007386,1/1140,0.4440210969670154,0.4472980054317166,0,0,1.8389425421910055,1.4930065594246456,IGF1R
alsterpaullone PC3 DOWN,1/1153,0.4478424379745788,0.4507317440260277,0,0,1.8169367283950617,1.459570364685904,JAK2
latamoxef HL60 UP,1/1196,0.4603144492687214,0.4628576230215873,0,0,1.7475592747559274,1.355835890377743,MDM2
testosterone CTD 00006844,1/1247,0.474777772612321,0.4769616630107218,0,0,1.671482075976458,1.2451010915863594,IGF1R
chlorzoxazone HL60 DOWN,1/1286,0.4856015423269823,0.4873868421149491,0,0,1.6173800259403373,1.1683417358041668,JAK1
0175029-0000 MCF7 DOWN,1/1488,0.5385171934488738,0.5400007118881269,0,0,1.3825749084659642,0.8557251823612197,IGF1R
2-Methylcholine CTD 00002006,1/1666,0.5810287435683001,0.582094851354664,0,0,1.2228895562228896,0.6639740610913675,STAT3
Copper sulfate CTD 00007279,3/6016,0.6193950014672271,0.6199627329076187,0,0,0.9961987123137964,0.4771912187081674,ERBB2;STAT3;JAK1
0175029-0000 PC3 DOWN,1/3326,0.8378541497690662,0.8378541497690662,0,0,0.5568922305764411,0.0985204946507731,PML
