Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Cilium Organization (GO:0044782),2/230,0.019797321431786745,0.09982545942863763,0,0,10.192466460268317,39.97697992832734,GALNT11;AHI1
Photoperiodism (GO:0009648),22-Jan,0.020703445636816073,0.09982545942863763,0,0,52.804232804232804,204.7460437251252,PML
Positive Regulation of Epithelial Cell Differentiation (GO:0030858),22-Jan,0.020703445636816073,0.09982545942863763,0,0,52.804232804232804,204.7460437251252,AHI1
Male Gamete Generation (GO:0048232),24-Jan,0.02256531142960272,0.09982545942863763,0,0,48.207729468599034,182.7719626724847,TDRD9
Adaptive Imm Resp Based on Som Recomb of Imm Rcptrs Built Frm IgSF Domains (GO:0002460),24-Jan,0.02256531142960272,0.09982545942863763,0,0,48.207729468599034,182.7719626724847,BTN3A2
Cilium Assembly (GO:0060271),2/247,0.022621694859796232,0.09982545942863763,0,0,9.477070828331332,35.907160796625426,GALNT11;AHI1
Meiosis I (GO:0007127),25-Jan,0.02349498640716487,0.09982545942863763,0,0,46.19675925925926,173.2825760780302,TDRD9
Negative Regulation of DNA Biosynthetic Process (GO:2000279),26-Jan,0.02442382371261493,0.09982545942863763,0,0,44.346666666666664,164.6235293172426,PML
Dendritic Spine Organization (GO:0097061),26-Jan,0.02442382371261493,0.09982545942863763,0,0,44.346666666666664,164.6235293172426,IGF1R
Negative Regulation of Proteolysis Involved in Protein Catabolic Process (GO:1903051),27-Jan,0.02535182406329611,0.09982545942863763,0,0,42.638888888888886,156.69384876205734,PML
Regulation of Mitochondrial Fission (GO:0090140),27-Jan,0.02535182406329611,0.09982545942863763,0,0,42.638888888888886,156.69384876205734,STAT2
Cellular Response to Hexose Stimulus (GO:0071331),28-Jan,0.02627898816211653,0.09982545942863763,0,0,41.05761316872428,149.40806261137496,IGF1R
