Feature,Fisher Score,Normalized Fisher Score
ISG15,0.03633392927721155,0.024624876499408897
MMP23A///MMP23B,0.055834713380222105,0.14003858912785747
CALML6,0.07224061812794531,0.23713552461319062
PLCH2,0.10668817931138161,0.4410104511892066
ARHGEF16,0.04398980607944589,0.06993552454845166
HES3,0.041390810593744456,0.05455359341558649
FBXO6,0.04905831078759124,0.09993303350766923
DRAXIN,0.053077526644156284,0.12372041669241451
LOC102724562///MST1L///MST1P2///MST1,0.0608600337153994,0.16978051509177353
HTR6,0.06242900733049736,0.1790663504191119
CNKSR1,0.044565066716531994,0.07334015512660694
CATSPER4,0.03717752194512222,0.02961760711143989
OPRD1,0.045948689998286024,0.08152901045585176
TINAGL1,0.03687632419616667,0.027834994152972994
CCDC28B,0.03947518188099439,0.043216109723225156
HPCA,0.0575001606426886,0.14989539543537767
RPS27///RPS27,0.046242600099444676,0.08326849209795076
CCDC30,0.03731861077442942,0.030452629206691496
ARTN,0.041887279537269166,0.0574919021355966
SNORD55,0.035397190909544754,0.01908087107876289
LURAP1,0.05500406245866187,0.13512245312793586
CYP4A22,0.04114798818811462,0.053116469903266586
FOXE3,0.054811314545400065,0.13398169118967632
ACOT11,0.043410948801687874,0.0665096075619785
MGC34796,0.04525467903239668,0.07742156627540063
PIN1P1,0.046536847948792745,0.08500997267364485
IFI44L,0.13091510002826118,0.5843953966724232
IFI44,0.09523556810238684,0.3732291572710707
GBP6,0.09607460517972502,0.37819492601231697
CDC7,0.04205422773762359,0.05847997069313563
HSP90B3P,0.07430078017890165,0.2493284164303152
GPR88,0.04567730460302128,0.07992283934728553
ERVK11-1///GSTM2,0.09046270427663766,0.3449813734337689
GSTM1,0.16886836771383196,0.8090185455075929
GSTM5,0.044134980631838905,0.07079472764420126
WNT2B,0.05201777565452827,0.11744837165419682
MOV10,0.06753270442628512,0.20927214249620893
HFE2,0.04077754949762041,0.05092406039063799
GPR89A///GPR89B,0.03663104644865538,0.026383338911015262
BNIPL,0.046407917135437224,0.08424690674957931
S100A1,0.036032105319176465,0.022838557376391438
ZNF320///RPS27///RGS4///RPS27,0.04172825598713419,0.05655073493844784
MTX1,0.04009886427853379,0.04690732032382465
IFI16,0.047191123882284004,0.08888224848413456
FCER1A,0.034482412383508444,0.013666833091114428
SLAMF8,0.070809109173005,0.22866326204785992
LOC440700,0.07019752936806307,0.225043679600094
FASLG,0.09032557145603706,0.34416976463562404
TOR3A,0.03399136418317249,0.010760606573200123
RGL1,0.11024363244012036,0.46205309457711136
CFH,0.035494887829923424,0.019659081894989893
GPR25,0.047804330480344756,0.09251145896698516
RPS10P7,0.05441150704564164,0.13161546490666787
RPS6KC1,0.034220736172337576,0.012118124953111233
DUSP5P1,0.06464391130783373,0.1921750690116347
SLC35F3,0.05787140476474127,0.15209257182537592
HES4,0.04303771825317622,0.06430067467791913
ACAP3,0.039341926891142374,0.04242745153267
DVL1,0.047771340308885274,0.09231620947607878
NPHP4,0.03874366494855591,0.03888668970722362
CHD5,0.06252589678978504,0.17963978234635566
KIAA2013,0.09208865746844647,0.3546044374826529
CROCCP2,0.09156193704376064,0.35148708797459705
ESPNP,0.03819687235452257,0.035650544792138625
RAP1GAP,0.04227514622788906,0.05978745776725149
FAM46B,0.04228556728497809,0.05984913389687811
IFI6,0.05112027127067137,0.1121365691905594
SPOCD1,0.05438375323160719,0.1314512063465815
SMIM12,0.035742013897804056,0.02112167626200155
FHL3,0.052649343561135556,0.12118625196164924
ORC1,0.05379213599433971,0.12794977063777407
ITGB3BP,0.042750361820970244,0.06259998036155896
GBP1P1///GBP3///GBP1,0.09517554962359515,0.3728739430690637
GBP2,0.05184437134021439,0.1164220931417515
GBP2.1,0.06218488759138949,0.17762154875024064
GBP7,0.07634041719274964,0.2613998325815384
GBP4,0.07058551449974207,0.22733993621496507
GBP5,0.08024356272068958,0.28450026351442226
GSTM3,0.04664312358111358,0.0856389558582846
TSPAN2,0.04028163481148267,0.04798903199527758
ZNF697,0.04781129372985327,0.09255267035999844
TDRKH,0.06660556424041103,0.2037849430885585
THEM5,0.036576872034840335,0.026062712304678
AIM2,0.1158296621328182,0.4951135306232434
VSIG8,0.03857756419079319,0.03790363666573926
ADAMTS4,0.061522914768983306,0.1737037195650421
PIGC,0.05949380663417071,0.16169461767835674
LMOD1,0.03960491128074149,0.04398390201212918
ZNF320///RPS27///RGS4///RPS27.1,0.04005053374088336,0.046621280195689285
KLHL12,0.04501712067483012,0.07601559757856037
PLXNA2,0.039063975869409934,0.040782422328841265
TAF1A,0.033260095057019705,0.006432653177376188
FAM89A,0.03902735521617211,0.04056568614394068
GNG4,0.05864271824481196,0.15665752428395852
SUV39H2,0.0381739964644157,0.035515155805061614
BMS1,0.03494920216790535,0.016429488261783313
FAM35DP///FAM35BP///FAM35A,0.06557342716643387,0.19767632863388243
FAM35DP///FAM35BP///FAM35A.1,0.062496542517923255,0.17946605161434112
REEP3,0.0626802565773489,0.18055334746605425
H2AFY2,0.06567561098736391,0.19828109478491507
NUDT13,0.037680019040482515,0.032591592929353215
IFIT2,0.04138012574461542,0.05449035605547099
IFIT3,0.05871341049200042,0.1570759102657206
IFIT1,0.04275374478982309,0.06262000217160267
IFIT5,0.09058496866547823,0.3457049846980031
NKX2-3,0.08182974487830895,0.29388794611984076
NANOS1,0.04537878558678805,0.07815608023792486
HTRA1,0.05182131626575153,0.11628564366748276
ANK3,0.041982047189718034,0.05805277633165099
DNA2,0.038697694255160765,0.03861461611424339
C10orf55,0.06092192527602125,0.17014681496740947
ZNF503,0.04069370485201296,0.05042783307062581
GRID1,0.043089836155488365,0.06460912999789382
ANKRD22,0.06986667532086792,0.22308554839248548
MYOF,0.06873435038569858,0.2163839807027286
PIK3AP1,0.05015119687226983,0.10640118575459614
SFRP5,0.04222278951851257,0.059477589088216334
ALDOAP2,0.09425763654648575,0.3674413535106242
CLRN3,0.040077225087729686,0.04677925063515036
SPRNP1,0.0632094145899785,0.18368512362859563
PGGHG,0.07520521642555043,0.2546812445273844
LOC692247,0.04720357896041515,0.088955962792267
LOC171391,0.07873185039384327,0.27555332419414186
MUC5B,0.03882612141749511,0.039374701223080386
BRSK2,0.05491431707008099,0.13459130276840733
TRIM22,0.049342148868099886,0.10161290476227061
C11orf42,0.04916779796176146,0.10058102392638432
AKIP1,0.03398159636933295,0.01070279660753261
ADM,0.033450746057032334,0.007561004715014459
RCN1,0.042229333944451344,0.05951632170997277
PRRG4,0.06992561043680927,0.22343435080468846
PRR5L,0.03456488452088293,0.014154937339257122
P2RX3,0.046431526242535326,0.08438663521832401
SERPING1,0.09998478736719285,0.4013370028090966
MIR130A,0.03506587461229199,0.01712000408396607
FAM111A,0.03589077634153881,0.02200211398391131
MS4A4A,0.03600438893419135,0.022674520336912706
ACTN3,0.035619437796605015,0.02039622015499723
RHOD,0.04461289037506295,0.07362319533429175
IGHMBP2,0.058109515810413744,0.153501811559211
MOGAT2,0.0803011115760994,0.2848408614629601
TMEM126B,0.054700720617394775,0.13332715054362695
JRKL,0.0687615633375701,0.21654503821664597
GRIK4,0.06919098839831124,0.21908655348567463
CRTAM,0.0347449873051513,0.015220860169710065
VWA5A,0.034737341217527355,0.01517560745807036
SPA17,0.0383462037425091,0.03653434976164361
IRF7,0.051171202769765965,0.11243800288518362
SLC25A22,0.0584717224990161,0.1556455006770245
TRPM5,0.05427639127407835,0.13081579383967884
LMO1,0.042395571483605655,0.06050018428035291
ABCC8,0.03454706586069621,0.014049479132276785
SAA2-SAA4///SAA4,0.06244284785342675,0.17914826436306214
ACP2,0.0402444530963807,0.04776897521401467
LOC441601,0.089482005400204,0.33917719152488435
UBE2L6,0.08565990599564993,0.31655642509906323
MACROD1,0.043684535875243666,0.06812880911405106
BATF2,0.09230276431383311,0.35587161042271037
LTBP3,0.03689733780012601,0.02795936135973967
SNORA70E,0.03878360073424137,0.039123046218241114
SYTL2,0.04640052929578978,0.0842031824563657
ME3,0.04381389981966458,0.06889443848705526
SMCO4,0.0551658823546641,0.1360801702574683
CARD17///CARD17,0.06448582338967464,0.19123943927182202
RDX,0.06585225607687922,0.1993265535465143
COLCA1,0.038357470779036444,0.03660103274777751
TREH,0.05741620153403852,0.14939849067569752
PRMT8,0.054487991422791544,0.13206813111118124
TIGAR,0.032985886219615644,0.004809771769471802
NDUFA9,0.04070772033773773,0.0505107825168246
KCNA6,0.04616324872778039,0.08279885783311515
APOLD1,0.03582204825655007,0.02159535272710781
EMP1,0.03421479858860021,0.012082983874703714
ASIC1,0.03653994118973125,0.02584414027588006
EIF4B,0.05375604271200077,0.1277361556521571
HOXC12,0.05275925107545451,0.12183673012736344
HOXC8,0.04679875792115676,0.08656006430715402
PDE1B,0.05984701545923729,0.16378505371511964
METTL7B,0.036084297335416606,0.023147451333271306
INHBE,0.03791768152580946,0.0339981778973829
GLI1,0.037206245190648905,0.029787603168391324
MYF6,0.03380498895291071,0.009657560810892907
TCTN1,0.042418046031302614,0.060633197956913264
TRAFD1,0.040236095350073706,0.04771951061169911
OAS1,0.10831229421850164,0.4506226355083485
OAS3,0.08539596379753747,0.31499430591233935
OAS2,0.0843450883333222,0.30877478990751855
CABP1,0.06492649536617508,0.1938475184439503
ZNF664-FAM101A///FAM101A,0.03658928395598609,0.026136171191906123
MMP17,0.05107507100863437,0.11186905532927506
PARP11,0.07039928735558967,0.2262377668875531
SCARNA11,0.06602266968632614,0.2003351318295612
C1R,0.04353702469186147,0.06725577686886423
SLC2A3,0.0438545574397662,0.06913506711294934
C3AR1,0.03356436578267964,0.008233453284031599
LINC00612,0.07041942095677996,0.22635692587365727
CLECL1,0.10209661778271285,0.4138356893957152
KLRC2,0.03217320704376089,0.0
PRH1-PRR4///PRH1,0.036067899473370774,0.023050401997825022
KIF21A,0.060150914640599656,0.16558365486882207
RACGAP1,0.04259252680894877,0.061665847424958634
CELA1,0.038540689108884044,0.037685394666641614
KRT85,0.06380821080399443,0.1872290474935221
KRT5,0.03486084155584528,0.01590653358293018
KRT71,0.03837974747303451,0.036732875444246735
KRT79,0.04650949502431831,0.08484808674392201
GPR84,0.04081616494857047,0.05115260261414168
STAT2,0.035082510840519325,0.017218464169145634
AVIL,0.03393024923102219,0.010398902987974192
MIR26A2,0.04238925870010496,0.0604628226144329
DPY19L2,0.03916659191083571,0.041389746539684434
ALKBH2,0.056694073952924286,0.14512464072753425
HRK,0.03863067050527617,0.038217941818091995
HNF1A-AS1,0.038574362441077606,0.03788468738556516
OASL,0.11259576416559865,0.47597398378826355
MORN3,0.04212053209064457,0.0588723873008554
IL31,0.056738197654894296,0.14538578306070246
GSX1,0.0354355917268787,0.019308143011679334
LACC1,0.041905325900005945,0.05759870798052515
CDADC1,0.11447848376001239,0.4871166976956531
ST13P4,0.0816149798997358,0.2926168780751528
OLFM4,0.04332925264869718,0.06602609591063613
CLDN10,0.0745240420180866,0.2506497724133606
CLYBL,0.0360404604885779,0.02288800672751317
FOXO1,0.055474174401972484,0.1379047702102565
EPSTI1,0.1973687543485059,0.9776956312841655
CCDC122,0.04270376483618642,0.06232420011688857
IRS2,0.03881090486086284,0.039284643342070324
GRTP1,0.03674282827897173,0.02704491005467108
GAS6-AS1///GAS6-AS1,0.05051989862471093,0.10858331534882479
CMTM5,0.03340555143772072,0.0072935242497147315
