ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title
8073960,1,0.6031967,0.5214853,-5.301,0.01884731,PIM3,"Pim-3 proto-oncogene, serine/threonine kinase"
7919950,1,0.6032875,-0.5213545,-5.301,-0.02859008,PI4KB,phosphatidylinositol 4-kinase beta
8107855,1,0.6034099,-0.5211781,-5.301,-0.0281134,RNU6ATAC,"RNA, U6atac small nuclear (U12-dependent splicing)"
8110318,1,0.6035256,-0.5210113,-5.301,-0.02791094,PRELID1,PRELI domain containing 1
7942889,1,0.6037065,-0.5207508,-5.301,-0.02491883,TMEM126A,transmembrane protein 126A
7946781,1,0.6037066,0.5207506,-5.301,0.02043728,PLEKHA7,pleckstrin homology domain containing A7
7921121,1,0.6037697,0.5206596,-5.301,0.02804885,MRPL24,mitochondrial ribosomal protein L24
8067279,1,0.603892,-0.5204834,-5.301,-0.03090095,CTSZ,cathepsin Z
7953040,1,0.6039041,0.5204661,-5.301,0.02306489,CACNA1C,calcium voltage-gated channel subunit alpha1 C
8070632,1,0.6039092,-0.5204588,-5.301,-0.0266002,CBSL///CBS,cystathionine-beta-synthase like///cystathionine-beta-synthase
8004485,1,0.6039325,0.5204252,-5.301,0.02302034,SENP3-EIF4A1///SENP3,SENP3-EIF4A1 readthrough (NMD candidate)///SUMO1/sentrin/SMT3 specific peptidase 3
7979565,1,0.6039743,-0.520365,-5.301,-0.02268767,WDR89,WD repeat domain 89
8038326,1,0.6040439,-0.5202646,-5.301,-0.02144726,SLC6A16,solute carrier family 6 member 16
8152369,1,0.6040796,-0.5202133,-5.301,-0.04051594,KCNV1,potassium voltage-gated channel modifier subfamily V member 1
8177867,1,0.6040962,0.5201893,-5.301,0.01922462,DDR1,discoidin domain receptor tyrosine kinase 1
7975453,1,0.6041196,0.5201557,-5.301,0.05303875,SNORD56B,"small nucleolar RNA, C/D box 56B"
7951781,1,0.6041227,0.5201512,-5.301,0.03224656,C11orf71,chromosome 11 open reading frame 71
8071086,1,0.6041419,0.5201235,-5.301,0.02312635,CECR2,"CECR2, histone acetyl-lysine reader"
