ID_REF,adj.P.Val,P.Value,Gene.symbol,GSM1558775,GSM1558776,GSM1558777,GSM1558778,GSM1558779,GSM1558780,GSM1558781,GSM1558782,GSM1558783,GSM1558784,GSM1558785,GSM1558786,GSM1558787,GSM1558788,GSM1558789,GSM1558790,GSM1558791,GSM1558792,GSM1558793,GSM1558794,GSM1558795,GSM1558796,GSM1558797,GSM1558798,GSM1558799,GSM1558800,GSM1558801,GSM1558802,GSM1558803,GSM1558804,GSM1558805,GSM1558806,GSM1558807,GSM1558808,GSM1558809,GSM1558810,GSM1558811,GSM1558812,GSM1558813,GSM1558814,GSM1558815,GSM1558816,GSM1558817,GSM1558818,GSM1558819,GSM1558820,GSM1558821,GSM1558822,GSM1558823,GSM1558824,GSM1558825,GSM1558826,GSM1558827,GSM1558828,GSM1558829,GSM1558830,GSM1558831,GSM1558832,GSM1558833,GSM1558834,GSM1558835,GSM1558836,GSM1558837,GSM1558838,GSM1558839,GSM1558840,GSM1558841,GSM1558842,GSM1558843,GSM1558844,GSM1558845,GSM1558846,GSM1558847,GSM1558848,GSM1558849,GSM1558850,GSM1558851,GSM1558852,GSM1558853,GSM1558854,GSM1558855,GSM1558856,GSM1558857,GSM1558858,GSM1558859,GSM1558860,GSM1558861,GSM1558862,GSM1558863,GSM1558864,GSM1558865,GSM1558866,GSM1558867,GSM1558868,GSM1558869,GSM1558870
7936923,1.0,0.005094,ALDOAP2,6.905701516,6.748011004,6.733064649,6.705895952,7.093908413,6.501211651,7.007155251,6.869715668,7.065832135,6.737936488,6.803500286,6.888615949,6.81670124,6.767960122,6.870982324,6.980307585,6.785636239,6.885853738,6.777797407,6.562479871,7.01748296,7.003894873,6.685049579,6.91666911,6.92065385,7.059769317,6.79095517,6.968416538,6.769693606,6.798878703,6.778194298,6.538369634,6.913905073,6.860343202,6.942543371,6.786334659,6.881599798,6.836871201,6.677724194,6.644097509,6.977392097,6.76479007,6.886987002,6.702074652,6.721383044,6.713929394,6.87248749,6.833947239,7.056069614,7.004632452,6.993770694,6.920151426,6.927641946,7.114889843,7.006073704,7.003588197,6.919490739,6.968134779,7.059597128,6.93143179,6.95059772,7.030879435,7.049039227,7.026968424,6.61945914,6.716624879,6.99083008,6.823008161,6.980466089,6.478064468,6.909260692,6.937024608,6.754292923,7.076173059,6.759547138,6.957014209,6.963849124,7.127874091,6.95464581,7.032964103,7.133413985,6.972240361,6.964975152,7.196380251,7.101840682,6.950745091,6.905544236,6.473163806,6.722296551,6.733067084,6.793714993,6.608496054,6.799510434,6.864003462,6.814706076,7.015177578
7937016,1.0,0.0566725,CLRN3,4.470873284,4.862167581,4.517779457,4.501560291,4.396914906,4.732185823,4.378215028,4.406439713,4.349163956,4.850337497,4.733655246,4.778549409,4.366756814,4.916608346,4.178805422,4.500620937,4.472454731,4.662997527,4.789418175,4.270837297,4.517848459,4.254928734,4.631983433,4.407874115,4.448720942,4.396867453,4.42544506,4.556881251,4.091828505,4.65122951,4.420797425,4.178215351,4.023756414,4.438444053,4.743701859,4.322255508,4.510748721,4.226931004,4.454615686,4.540652113,4.366365698,4.549390491,4.351379488,4.643047691,4.413408897,4.402011882,4.338047635,4.281993336,4.494147506,4.783640352,4.493607599,4.971510015,4.70919237,4.706697907,4.405250101,4.871553312,4.532473196,4.795524061,4.606219437,4.726809994,4.316396929,4.65514575,4.374352425,4.761336151,4.645930586,4.899219225,4.487118408,4.484251788,4.568542102,4.891276158,4.370575542,4.666852726,4.980233201,4.658054753,4.702340222,4.343922391,4.0611586,4.752849903,4.774956036,4.412564989,4.291514079,4.304798248,4.363823881,4.632786197,4.319414542,4.324589331,4.451098222,4.597263969,5.004709421,4.179811486,4.434471645,4.580216896,4.344538073,4.141338642,4.424209503,4.501183919
7937247,1.0,0.0177346,SPRNP1,7.789383468,7.783818979,7.833149177,7.734897604,7.752532676,7.576544135,7.696921007,7.729338891,7.700123473,7.848274452,7.98225455,7.960378202,7.319379781,7.533069139,7.748961891,7.813828206,7.782172485,7.730182563,7.77485636,7.692585693,7.296676189,7.552711014,7.794708119,7.548880132,7.846935414,7.683338484,8.022536422,7.857866792,7.33138263,7.660500214,7.393381894,7.630576577,7.243968545,7.366744035,7.862493652,7.452787571,7.401113246,7.384196979,7.30447581,7.670430485,7.567804733,7.556976956,7.266056758,7.504556035,7.267485566,7.442261926,7.556833109,7.631610963,7.858593629,7.965328579,7.839767649,8.073828696,8.018270142,8.015714064,7.72127918,7.789160515,7.910655726,7.915430575,8.136911977,7.602107392,7.609543947,7.560286136,7.637003936,7.576576373,7.754021621,7.974000052,7.402108103,7.458772697,7.750412399,7.919596693,7.735228026,7.651716613,7.769767208,7.836164579,7.639274182,7.592342034,7.568753511,7.983304243,7.668663582,7.629738165,7.765670244,7.751306029,7.725317173,7.893330858,7.567001918,7.774122078,7.422367659,7.271890965,7.741370847,7.483581392,7.634551931,7.835493533,7.607460574,7.407087564,7.49183593,7.730290017
7937314,1.0,0.0087381,PGGHG,8.408952025,8.151196333,8.233105878,8.382286029,8.430125671,7.808532455,7.851087008,7.671521932,8.119942015,7.831302242,8.091146164,7.132494559,8.120125518,7.665485338,8.253768913,8.066656222,8.698887603,7.869239508,8.25941327,7.900745057,8.42327393,7.920964562,9.044388267,7.975536266,7.565890011,7.920222272,8.299044558,8.23571641,7.752865511,8.073809816,8.08411854,7.961009226,7.89804327,8.234619766,8.041481298,8.083577802,8.165541468,8.120499213,8.216235061,8.186857721,8.550616133,8.180415009,8.196405342,8.276810744,8.467540175,8.069370047,8.307790034,8.164916074,8.291906687,8.411680591,8.634099731,8.200321155,8.105517303,8.474490277,8.285418063,8.175219812,8.245942578,7.918428736,8.353215315,7.787731147,8.361097888,8.040205284,8.675695998,7.914873843,8.461082267,7.992269983,8.462932412,8.380141981,8.277168605,8.317617248,8.106177359,8.32398626,8.297308908,8.182583412,8.905299697,8.225401672,8.235819645,8.208562457,8.235875888,8.049192148,7.953294054,7.900119178,8.353052002,8.356820202,8.496411908,8.390644444,8.478843339,8.665641926,7.698449256,7.99694692,8.583941556,8.131400605,8.061961604,7.933000443,8.62669727,8.509318254
7937404,1.0,0.0402701,LOC692247,6.385469749,6.910771482,6.73200764,6.67601674,6.551679579,6.692310368,6.384700113,6.495951835,6.393599093,6.683706976,6.416834174,6.565999931,6.23849706,6.191946654,6.310831608,6.043079547,6.45503546,6.439494096,6.290010989,6.562191418,6.575460618,6.192458812,6.60012749,6.295513202,6.373061049,6.48809189,6.976663702,6.455964383,6.145614113,6.421871401,6.356048296,6.332529536,6.633091549,6.221850918,6.56437553,6.053061764,6.451106661,6.323935913,6.524013096,6.168200907,6.310289728,6.2678061,6.305281705,6.529856752,6.400415296,6.317895037,6.494447663,6.547628102,6.559160333,6.648276962,6.876897493,6.870211939,6.678693282,6.648530154,6.593531534,6.597600137,6.822239735,6.659878336,6.699874544,6.367791024,6.294424999,6.195634884,6.441068242,6.522283141,6.344347497,6.652480768,6.361505995,6.18800885,6.546191525,6.789116317,6.365667268,6.422124752,6.284142824,6.186784457,6.501108956,6.500249141,6.520666871,6.426532427,6.33695068,6.069793896,6.399150705,6.310690818,6.451175595,6.718750266,6.582555617,6.539663544,6.565294045,6.519970743,6.297136753,6.473938995,6.665210322,6.797905472,6.672377995,6.431492033,6.644879607,6.68538925
7937474,1.0,0.0096639,LOC171391,7.116426242,7.416612446,7.240802762,7.18399248,7.209119281,7.114942581,6.918536157,6.96960128,7.40362798,6.945868485,7.277082453,7.162899756,7.208425961,6.842694078,7.128350439,6.968589107,7.047340724,6.78635688,6.938489117,7.032026146,7.186616512,6.935758634,7.457589718,7.027606229,7.030081256,7.184937272,7.41841361,7.148186881,7.196665921,7.181675966,7.246122726,7.075470556,7.034837943,7.006419343,7.136778184,7.001781434,6.994140679,6.869890743,6.858555432,7.176874876,7.150179456,7.034846325,6.799457353,7.004760878,7.05145681,6.916156661,7.321412504,7.031420606,7.200204776,7.425132428,7.282188866,7.53266359,7.027210544,7.452206077,7.125724402,7.195918949,7.206797016,7.141217365,7.239431465,7.12664433,7.078994846,7.047959309,6.9966694,6.931947033,7.168666519,7.245355863,7.095599647,6.974209206,7.149323019,7.272029415,7.124747806,7.081903794,7.127060092,7.134053876,7.283110184,7.084045688,7.105687821,7.418088315,6.861949627,7.093293346,6.992685011,7.01909442,7.12614935,7.170086022,7.035163887,7.169538805,7.226260578,7.3210518,7.698325323,7.212799175,7.323237016,7.254642868,7.255256903,7.092452776,7.164053301,7.335404659
7937612,1.0,0.0640261,MUC5B,6.598816031,6.930926172,6.698009662,6.830742884,6.470236585,6.740126933,6.562376069,6.594510645,6.550061127,6.521051062,6.539047278,6.465902743,6.211517392,6.542318794,6.585546,6.650895763,6.660232317,6.487963555,6.284934462,6.337677806,6.498109406,6.460105608,6.7707327,6.545377571,6.521405881,6.586667194,6.693765066,6.467153752,6.1977774,6.581376952,6.364815526,6.532667387,6.392526968,6.439771326,6.525247982,6.212319662,6.248085483,6.079243207,6.362585119,6.425511292,6.554131701,6.347446268,6.2425814,6.366831629,6.330101145,6.135411564,6.560113529,6.426040903,6.5676551,6.98306821,6.50139929,7.077094266,6.774575738,6.605413646,6.687820193,6.780606101,6.696182684,6.54684763,6.770518106,6.445918556,6.454684466,6.478209999,6.469085236,6.24242033,6.618199888,6.657360256,6.321242919,6.357678149,6.597413975,6.826571057,6.674923069,6.436954519,6.469454119,6.356668033,6.413430846,6.418452336,6.480410821,6.732799841,6.405107981,6.452291806,6.46384505,6.603219956,6.732780253,6.459379282,6.513667016,6.519754077,6.330329204,6.572027534,6.680383476,6.282617989,6.335714222,6.702578541,6.623909593,6.349486871,6.4298171,6.561464933
7937667,1.0,0.0280405,BRSK2,6.303499217,6.626639269,6.41538059,6.279853523,6.294757638,6.290837714,6.154386753,6.246520218,6.239412513,6.117364394,6.273327853,6.180726256,5.751398527,6.023710637,6.201887057,6.32417286,6.166060665,6.292815824,6.192440958,6.275253804,5.998409365,6.09209674,6.302399484,6.175794368,6.296193189,6.200873966,6.52045737,6.166348137,5.825830665,6.207691932,6.063948269,6.041674908,5.806278931,5.958934691,6.372138548,5.978731939,5.908880495,5.950964069,5.982630048,6.202563717,6.272338951,5.976044528,5.845553227,5.913283072,6.039176155,5.814654187,6.128931281,6.127845495,6.207511213,6.46142894,6.313171856,6.508721666,6.316885167,6.323650399,6.319973395,6.208509153,6.374467697,6.428287936,6.36541266,6.237073683,6.122203097,5.894124165,6.11762789,6.099257123,6.301744897,6.46668696,5.989624786,5.947868855,6.376684696,6.510383474,6.258286781,6.243617163,6.016321275,6.267653095,6.032811679,6.025564027,6.028422568,6.534682209,6.168286467,6.079131004,6.305370538,6.218697559,6.502010086,6.181948625,6.13653108,6.145162231,6.088961194,5.981066652,6.534562498,6.027674987,6.008948723,6.260616689,6.171198863,6.179143476,6.195856199,6.342659437
7938035,1.0,0.0312217,TRIM22,10.24491145,9.115005042,10.47456427,9.618428198,10.1095414,9.310897222,10.45106003,9.776707067,9.849734004,9.382617,9.949727014,9.412128599,10.05565005,9.796979142,10.17371809,9.403280825,10.05185861,9.225313568,10.72684745,10.84554161,10.20745765,10.08574482,9.407101371,10.29711471,9.503865764,10.9348752,9.871907998,9.860730798,10.76274243,10.65509845,10.12959416,10.0120644,10.22693412,9.960542833,9.590649424,10.67956006,10.3325267,10.18941034,10.51098682,9.840966618,9.952495411,9.948845253,10.36240322,10.09490656,10.54843167,10.24911761,10.39126086,10.41874068,9.877148859,9.168536088,9.507242782,9.432503377,9.547137743,9.775679117,9.919232784,9.746715458,9.631819524,9.879000211,9.770839244,9.975806367,9.894148436,9.942066136,9.815301694,9.836626398,9.851404604,9.643908894,10.08553857,9.777991796,10.16976789,9.746116099,10.0993171,9.877638842,9.495143182,9.486532742,9.826457749,10.69981552,10.25156182,9.444982367,9.893738492,9.83921084,10.05221208,9.934539477,10.17801416,9.931927065,10.4371166,9.900997144,10.33508782,9.728699584,9.700211751,10.12183336,9.946834891,9.611031312,10.40859835,10.68111312,9.942787575,10.0795403
7938078,1.0,0.0368991,C11orf42,5.118872733,5.663931247,5.24988342,5.333889653,5.355250839,5.303233343,5.271859902,5.222148656,5.190079081,5.185969188,5.237062233,5.095923623,4.967811375,5.293758197,5.326322119,5.439207045,5.117492154,5.318647501,5.205676644,5.690367131,5.126494712,5.048513413,5.477206469,5.110906118,5.269320041,5.098097276,5.313056655,5.480476913,5.118002365,5.050145227,5.228710526,5.003047102,4.72744634,5.100393243,5.435104376,5.011762462,5.14447287,5.159688887,5.000581093,5.291990806,5.264022609,5.106762008,5.176587552,5.057084794,4.920332273,4.811752635,5.409286201,5.346954689,5.295213324,5.691683196,5.338663133,5.450838083,5.608748973,5.45856956,5.412643186,5.512347039,5.658845907,5.145272097,5.475487782,5.273208368,5.123064053,5.045156922,5.259296962,5.243123783,5.35133853,5.389099083,4.998791383,5.080718242,5.331958064,5.466384463,5.243854351,5.255402165,5.341061907,5.126089374,5.427195517,5.070692087,4.990972509,5.651259884,5.369532007,5.278233632,5.246424758,5.408995896,5.190192152,5.335345151,5.263993215,5.135786135,5.129854762,5.239552515,5.128225903,5.021731406,4.926633196,5.430596708,5.359355096,5.066470664,5.17042479,5.379824166
